ID,Name,Organizational Group,XWP Code,Initiator,Work Plan,Related to,Sequence,ECC / RC,Destructive,Phase,Gate,Remark,Duration,Duration factor,Duration calculated,Duration Total,Costs,Total Costs,Validity Status,Manager,Performed by,Note,App. No.
[DP1],High speed endurance test,TR-020-Testrigs,M0001,,,,,,,,,,,,,,,,,,MAGNA,,
[DP1],High speed endurance test,TR-020-Testrigs,S000150103032904,BB-000_Product Line Verification,BB-010_New gear set (gears/FD/ratio),,,4M-48V,,SD3,G3,"reason of test:
different collective expected. Test zur Stra†enfreigabe",75,1.5,112.5,112.5,,,,,MAGNA,,1
[DP1],High speed endurance test,TR-020-Testrigs,S000160103032904,BB-000_Product Line Verification,BB-010_New gear set (gears/FD/ratio),,,4M-48V,,SD4,G4,"reason of test:
different collective expected. Test zur Stra†enfreigabe",75,1.5,112.5,112.5,,,,,MAGNA,,1
[SRV],Scuffing resistance,TR-020-Testrigs,M0004,,,,,,,,,,,,,,,,,,MAGNA,,
[SRV],Scuffing resistance,TR-020-Testrigs,S000450103032904,BB-000_Product Line Verification,BB-010_New gear set (gears/FD/ratio),,,4M-48V,,SD3,G3,,10,1.5,15,15,,,,,MAGNA,,1
[SRV],Scuffing resistance,TR-020-Testrigs,S000460103032904,BB-000_Product Line Verification,BB-010_New gear set (gears/FD/ratio),,,4M-48V,,SD4,G4,,10,1.5,15,15,,,,,MAGNA,,1
[DP2_DUROP],Dyno load test / Durability of Rotating Parts,TR-020-Testrigs,M0002,,,,,,,,,,,,,,,,,,MAGNA,,
[DP2_DUROP],Dyno load test / Durability of Rotating Parts,TR-020-Testrigs,S000250103032904,BB-000_Product Line Verification,BB-010_New gear set (gears/FD/ratio),,,4M-HV,,SD3,G3,"reason of test:
different collective expected.",x,1.5,err,err,,,,,MAGNA,,1
[DP2_DUROP],Dyno load test / Durability of Rotating Parts,TR-020-Testrigs,S000260103032904,BB-000_Product Line Verification,BB-010_New gear set (gears/FD/ratio),,,4M-HV,,SD4,G4,"reason of test:
different collective expected.",x,1.5,err,err,,,,,MAGNA,,1
[DF6],Full throttle acceleration ,TR-020-Testrigs,M0009,,,,,,,,,,,,,,,,,,MAGNA,,
[DF6],Full throttle acceleration ,TR-020-Testrigs,S000950103032704,BB-000_Product Line Verification,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD3,G3,,24,1.5,36,36,,,,,MAGNA,,1
[DF6],Full throttle acceleration ,TR-020-Testrigs,S000950128032704,PFG-010_Vehicle Testing,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD3,G3,,24,1.5,36,36,,,,,MAGNA,,1
[DF6],Full throttle acceleration ,TR-020-Testrigs,S000960103032704,BB-000_Product Line Verification,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD4,G4,,24,1.5,36,36,,,,,MAGNA,,1
[DF6],Full throttle acceleration ,TR-020-Testrigs,S000960128032704,PFG-010_Vehicle Testing,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD4,G4,,24,1.5,36,36,,,,,MAGNA,,1
[DF6_Track],Testtrack for - DF6,TR-020-Testrigs,M1902,,,,,,,,,,,,,,,,,,MAGNA,,
[DF6_Track],Testtrack for - DF6,TR-020-Testrigs,R1902501xxxxx708,,,[DF6],,BOX,,SD3,G3,,20,1,20,20,,,,,MAGNA,,1
[DF6_Track],Testtrack for - DF6,TR-020-Testrigs,R1902601xxxxx708,,,[DF6],,BOX,,SD4,G4,,20,1,20,20,,,,,MAGNA,,1
[DF10],Differential test ,TR-020-Testrigs,M0124,,,,,,,,,,,,,,,,,,MAGNA,,
[DF10],Differential test ,TR-020-Testrigs,S012450103032704,BB-000_Product Line Verification,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD3,G3,,16,1.5,24,24,,,,,MAGNA,,1
[DF10],Differential test ,TR-020-Testrigs,S012450128032704,PFG-010_Vehicle Testing,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD3,G3,,16,1.5,24,24,,,,,MAGNA,,1
[DF10],Differential test ,TR-020-Testrigs,S012460103032704,BB-000_Product Line Verification,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD4,G4,,16,1.5,24,24,,,,,MAGNA,,1
[DF10],Differential test ,TR-020-Testrigs,S012460128032704,PFG-010_Vehicle Testing,BB-010_New gear set (gears/FD/ratio),,,AUTO,,SD4,G4,,16,1.5,24,24,,,,,MAGNA,,1
[DF10_Track],Testtrack for - Differential test ,TR-020-Testrigs,M1904,,,,,,,,,,,,,,,,,,MAGNA,,
[DF10_Track],Testtrack for - Differential test ,TR-020-Testrigs,R1904501xxxxx708,,,[DF10],,BOX,,SD3,G3,,6,1,6,6,,,,,MAGNA,,1
[DF10_Track],Testtrack for - Differential test ,TR-020-Testrigs,R1904601xxxxx708,,,[DF10],,BOX,,SD4,G4,,6,1,6,6,,,,,MAGNA,,1
[FP2],Efficiency test,TR-020-Testrigs,M0192,,,,,,,,,,,,,,,,,,MAGNA,,
[FP2],Efficiency test,TR-020-Testrigs,S019250129032904,PFG-020_Efficiency,BB-010_New gear set (gears/FD/ratio),,,3M-48V,,SD3,G3,,192,1.5,288,288,,,,,MAGNA,,1
[FP2],Efficiency test,TR-020-Testrigs,S019260129032904,PFG-020_Efficiency,BB-010_New gear set (gears/FD/ratio),,,3M-48V,,SD4,G4,"sample size:
0x if no change regarding to efficiency FMEA expected and done in privious phase",192,1.5,288,err,,,,,MAGNA,,1
[FP4],Lubrication test ,TR-020-Testrigs,M0201,,,,,,,,,,,,,,,,,,MAGNA,,
[FP4],Lubrication test ,TR-020-Testrigs,S020150133032704,PFG-040_Lubrication,BB-010_New gear set (gears/FD/ratio),,,FCT-48V,,SD3,G3,"reason of test:
?nderung ?lverdr?ngung",126,1.5,189,189,,,,,MAGNA,,1
